step,ep_reward_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,lr,sps
696320,84.8,0.0391,45.5476,0.9885,0.0627,0.263,0.000215,147.0
700416,31.6,0.0137,18.2698,0.9881,0.0113,0.098,0.000215,147.0
702464,45.0,0.0036,6.403,0.9864,0.0071,0.085,0.000215,144.0
704512,48.3,0.0129,26.0516,0.9894,0.0179,0.139,0.000215,145.0
708608,75.2,0.0149,18.097,0.993,0.0178,0.14,0.000215,145.0
710656,56.8,0.0078,16.4307,0.9974,0.0248,0.166,0.000215,145.0
712704,37.8,0.0039,5.6306,0.9959,0.0171,0.16,0.000214,145.0
716800,48.9,0.0038,11.0808,0.9908,0.0136,0.124,0.000214,145.0
718848,73.1,0.009,11.7299,0.9921,0.0212,0.157,0.000214,145.0
720896,57.7,0.0091,18.6307,0.9948,0.0293,0.182,0.000214,145.0
724992,37.4,0.0037,3.9875,0.9905,0.0096,0.09,0.000214,146.0
727040,18.2,0.0132,5.168,0.9873,0.0206,0.173,0.000214,146.0
729088,78.1,0.0122,36.6429,0.9876,0.0293,0.234,0.000214,146.0
731136,39.1,0.0029,7.9287,0.9883,0.0083,0.075,0.000214,146.0
733184,42.0,0.0164,15.5301,0.9887,0.0222,0.152,0.000213,146.0
735232,24.2,0.0027,4.0138,0.9899,0.0101,0.084,0.000213,146.0
737280,23.4,0.0066,4.8443,0.9974,0.0093,0.101,0.000213,146.0
739328,39.6,0.0006,7.7903,1.0011,0.0105,0.11,0.000213,146.0
741376,84.1,0.0223,13.4658,1.0041,0.0457,0.257,0.000213,147.0
743424,32.3,-0.0019,4.7352,1.0037,0.0069,0.078,0.000213,147.0
745472,85.9,0.0009,23.2845,0.9999,0.006,0.074,0.000213,147.0
747520,92.9,0.011,13.3589,0.9976,0.0182,0.134,0.000213,147.0
749568,60.8,0.0242,18.7412,0.9952,0.0612,0.298,0.000213,147.0
751616,84.4,0.0277,17.0593,0.9952,0.0498,0.244,0.000213,147.0
753664,37.1,0.013,16.0325,0.9956,0.0211,0.182,0.000212,145.0
755712,29.3,0.0024,6.7276,0.996,0.0131,0.111,0.000212,145.0
757760,104.3,0.032,27.1981,0.996,0.0494,0.265,0.000212,145.0
759808,65.6,0.0025,18.6372,0.9956,0.007,0.088,0.000212,145.0
761856,35.7,0.0191,10.2616,0.9938,0.0204,0.215,0.000212,145.0
763904,76.8,0.0092,28.3202,0.9925,0.0199,0.187,0.000212,145.0
765952,113.6,0.0231,17.0907,0.9925,0.0236,0.224,0.000212,145.0
768000,80.6,0.0062,23.1546,0.9928,0.0135,0.114,0.000212,145.0
772096,85.1,0.0004,21.8827,0.9985,0.0103,0.098,0.000211,146.0
774144,45.6,0.0042,17.3719,1.0009,0.0245,0.185,0.000211,146.0
776192,47.9,0.0119,21.2283,1.001,0.0215,0.142,0.000211,146.0
780288,63.4,0.0042,22.3908,0.998,0.0163,0.12,0.000211,146.0
784384,52.9,0.0064,32.5215,0.9964,0.014,0.111,0.000211,146.0
788480,55.6,0.0074,24.6263,0.9977,0.0107,0.086,0.000211,146.0
792576,80.7,0.0029,21.1298,1.001,0.0052,0.055,0.00021,147.0
796672,45.4,0.0043,16.1991,1.0014,0.0081,0.066,0.00021,147.0
798720,113.9,0.008,18.0543,1.002,0.0231,0.137,0.00021,147.0
800768,10.1,0.0015,10.2146,1.0026,0.0053,0.055,0.00021,147.0
804864,31.0,0.0025,13.4488,1.0027,0.0071,0.079,0.00021,145.0
806912,7.6,-0.0014,4.8442,1.0031,0.0055,0.068,0.00021,145.0
808960,86.6,0.0071,22.6154,1.0044,0.0149,0.13,0.00021,145.0
811008,74.0,0.0059,1.3084,1.0065,0.011,0.081,0.00021,145.0
813056,34.8,-0.0028,3.7661,1.0068,0.0095,0.113,0.000209,145.0
815104,38.3,0.009,6.6906,1.0049,0.02,0.167,0.000209,145.0
817152,56.8,0.0186,14.1399,1.007,0.0293,0.225,0.000209,145.0
819200,72.9,0.0413,33.8929,1.0084,0.0953,0.261,0.000209,145.0
821248,44.6,0.0111,22.0331,1.0095,0.0249,0.103,0.000209,145.0
823296,38.0,0.0002,12.0924,1.0111,0.0099,0.079,0.000209,146.0
825344,29.2,0.0081,6.3859,1.0126,0.015,0.1,0.000209,146.0
827392,3.4,0.0186,8.8602,1.0129,0.0228,0.079,0.000209,146.0
831488,46.0,0.0053,10.1639,1.0053,0.0145,0.079,0.000209,146.0
833536,7.4,0.0051,5.4217,1.0051,0.0114,0.11,0.000208,146.0
835584,52.6,0.002,16.323,1.0068,0.0097,0.086,0.000208,146.0
839680,65.9,0.0027,9.7157,1.0103,0.006,0.044,0.000208,146.0
841728,43.8,0.0159,5.6216,1.0127,0.0224,0.15,0.000208,146.0
843776,16.9,0.026,8.0516,1.0152,0.0287,0.193,0.000208,146.0
847872,70.7,0.0065,14.8833,1.0169,0.0097,0.086,0.000208,147.0
849920,45.0,0.0061,16.1779,1.0147,0.0111,0.112,0.000208,147.0
851968,44.3,0.0043,12.7966,1.0132,0.0083,0.079,0.000208,147.0
856064,62.0,0.015,13.5125,1.0135,0.0225,0.149,0.000207,145.0
860160,15.6,0.0044,5.6312,1.0139,0.0129,0.104,0.000207,145.0
862208,34.0,0.0016,7.8195,1.0191,0.0068,0.074,0.000207,145.0
864256,39.4,0.0045,14.086,1.0222,0.0151,0.145,0.000207,145.0
866304,113.9,0.0076,18.5159,1.0222,0.0122,0.127,0.000207,145.0
868352,70.6,0.0014,18.6833,1.0222,0.006,0.069,0.000207,145.0
870400,8.7,0.0017,6.445,1.0216,0.0055,0.068,0.000207,145.0
872448,58.3,0.0135,20.8637,1.0218,0.0345,0.188,0.000206,146.0
874496,106.8,0.0057,14.7184,1.0217,0.0197,0.156,0.000206,146.0
876544,77.5,0.0046,13.0231,1.0234,0.0098,0.111,0.000206,146.0
878592,81.9,0.0053,8.3268,1.0262,0.015,0.099,0.000206,146.0
880640,27.3,0.0045,24.4755,1.0269,0.0122,0.101,0.000206,146.0
882688,37.0,0.0007,14.1213,1.0276,0.0086,0.099,0.000206,146.0
884736,53.3,-0.0009,11.008,1.029,0.0104,0.088,0.000206,146.0
886784,87.1,-0.0014,12.7452,1.0306,0.0212,0.099,0.000206,146.0
888832,45.8,0.0011,15.4823,1.0302,0.0105,0.1,0.000206,146.0
890880,111.6,0.0091,16.5237,1.0294,0.0184,0.176,0.000206,146.0
892928,4.7,-0.0037,8.4652,1.0298,0.0066,0.07,0.000205,146.0
894976,43.4,0.01,3.9226,1.0294,0.0126,0.103,0.000205,147.0
897024,73.5,0.024,15.166,1.0325,0.0415,0.176,0.000205,147.0
899072,46.6,0.0062,8.3387,1.0338,0.0182,0.083,0.000205,147.0
901120,4.6,0.0058,7.9386,1.0353,0.0114,0.1,0.000205,147.0
903168,66.3,0.0087,16.966,1.0351,0.0236,0.177,0.000205,145.0
905216,108.3,0.0019,16.0778,1.0338,0.0166,0.156,0.000205,145.0
907264,71.6,0.0139,17.7663,1.0331,0.0204,0.179,0.000205,145.0
911360,40.3,0.0065,20.3329,1.0347,0.0111,0.122,0.000205,145.0
913408,113.5,0.0044,12.7701,1.0318,0.0101,0.111,0.000204,145.0
915456,92.9,0.0013,33.5937,1.0289,0.0112,0.113,0.000204,145.0
919552,67.2,-0.0003,12.9732,1.029,0.0153,0.087,0.000204,145.0
923648,29.0,0.0006,9.3291,1.0282,0.0106,0.098,0.000204,146.0
927744,92.7,0.0086,56.9358,1.0183,0.0262,0.167,0.000204,146.0
931840,70.4,0.0045,15.6855,1.02,0.0165,0.154,0.000204,146.0
935936,63.3,0.0008,32.1336,1.0198,0.0088,0.094,0.000203,146.0
940032,58.1,0.0181,8.9598,1.0211,0.0413,0.237,0.000203,146.0
942080,91.5,0.0028,20.736,1.0203,0.0091,0.1,0.000203,146.0
944128,79.8,0.0024,59.5338,1.0195,0.0055,0.061,0.000203,146.0
946176,81.9,0.0049,15.9347,1.0211,0.0193,0.157,0.000203,146.0
948224,57.0,0.0054,13.0844,1.0266,0.0265,0.203,0.000203,147.0
950272,85.1,0.0123,16.1089,1.0271,0.0186,0.144,0.000203,147.0
952320,73.0,0.0012,5.1937,1.0289,0.0167,0.163,0.000202,145.0
954368,47.8,0.0187,20.3939,1.0298,0.044,0.198,0.000202,145.0
956416,72.6,0.0175,14.8205,1.0309,0.0284,0.21,0.000202,145.0
958464,33.2,0.0099,31.2985,1.0329,0.0215,0.173,0.000202,145.0
960512,38.4,-0.0041,13.5621,1.0348,0.0069,0.068,0.000202,145.0
962560,60.4,0.0107,27.2003,1.0354,0.022,0.195,0.000202,145.0
964608,37.2,-0.0012,5.6638,1.0364,0.0165,0.156,0.000202,145.0
966656,30.0,0.0008,7.6715,1.0404,0.0198,0.184,0.000202,145.0
968704,55.2,0.0087,12.5672,1.0461,0.027,0.224,0.000202,145.0
970752,46.5,0.0042,17.1409,1.0491,0.0146,0.163,0.000202,145.0
972800,99.9,0.0183,17.3246,1.0491,0.0312,0.234,0.000201,145.0
974848,76.2,0.0105,15.8656,1.0493,0.0243,0.195,0.000201,146.0
976896,80.0,-0.0,11.1339,1.0507,0.0148,0.158,0.000201,146.0
978944,100.3,0.0159,28.8811,1.0496,0.0239,0.22,0.000201,146.0
983040,88.1,0.0049,29.3693,1.053,0.0181,0.127,0.000201,146.0
985088,53.8,0.0081,12.5483,1.0546,0.0266,0.165,0.000201,146.0
987136,51.4,0.0056,10.3379,1.0561,0.0169,0.143,0.000201,146.0
991232,42.6,0.0068,28.88,1.06,0.0239,0.147,0.000201,146.0
993280,40.4,0.0092,9.8027,1.0587,0.0129,0.109,0.0002,146.0
